Version,Total Patches,CN Companies Patches,CN Companies %,CN Country Patches,CN Country %,Total Lines,CN Companies Lines,CN Companies Lines %
5.0,12808,485,3.79%,1499,11.70%,842601,21913,2.60%
5.1,13034,692,5.31%,1737,13.33%,837917,26732,3.19%
5.2,14022,697,4.97%,1922,13.71%,1121200,30116,2.69%
5.3,14604,561,3.84%,2005,13.73%,1364882,20779,1.52%
5.4,14619,921,6.30%,2268,15.51%,1097246,36825,3.36%
5.5,14350,780,5.44%,1850,12.89%,861430,22778,2.64%
5.6,12665,694,5.48%,1690,13.34%,836688,29614,3.54%
5.7,13901,751,5.40%,1706,12.27%,804168,38290,4.76%
5.8,16306,1686,10.34%,2387,14.64%,1294899,380864,29.41%
5.9,14858,813,5.47%,2163,14.56%,991654,25639,2.59%
5.10,16175,1755,10.85%,2492,15.41%,967795,81330,8.40%
5.11,14340,1153,8.04%,2019,14.08%,1100113,53567,4.87%
5.12,13014,1037,7.97%,1924,14.78%,832189,44415,5.34%
5.13,16030,1778,11.09%,2921,18.22%,962792,53962,5.60%
5.14,14735,2181,14.80%,3044,20.66%,1182190,61229,5.18%
5.15,12377,942,7.61%,1779,14.37%,976946,57533,5.89%
5.16,14190,1199,8.45%,2006,14.14%,981447,41893,4.27%
5.17,13038,1095,8.40%,1864,14.30%,770165,53920,7.00%
5.18,14954,1233,8.25%,2259,15.11%,1408235,51006,3.62%
5.19,15134,1316,8.70%,2604,17.21%,1405801,86192,6.13%
6.0,15402,1285,8.34%,2584,16.78%,1777540,61515,3.46%
6.1,13939,1904,13.66%,3172,22.76%,965082,69061,7.16%
6.2,15536,1386,8.92%,2449,15.76%,1141819,60567,5.30%
6.3,14423,945,6.55%,1841,12.76%,1158431,42049,3.63%
6.4,14835,741,4.99%,1897,12.79%,1282473,30094,2.35%
6.5,13561,776,5.72%,1942,14.32%,771005,30570,3.96%
6.6,14069,1681,11.95%,2733,19.43%,740398,51350,6.94%
6.7,17284,965,5.58%,2252,13.03%,1414696,48450,3.42%
6.8,14405,690,4.79%,1748,12.13%,953581,30732,3.22%
6.9,14480,781,5.39%,1854,12.80%,947025,26123,2.76%
6.10,13312,699,5.25%,1580,11.87%,788298,22061,2.80%
6.11,13888,696,5.01%,1980,14.26%,1174954,26022,2.21%
6.12,13342,1249,9.36%,2459,18.43%,763357,32830,4.30%
6.13,12982,785,6.05%,1844,14.20%,910871,30289,3.33%
6.14,11003,521,4.74%,1394,12.67%,626641,18888,3.01%
6.15,14612,797,5.45%,1808,12.37%,1018790,38516,3.78%
6.16,14639,704,4.81%,1989,13.59%,926032,49679,5.36%
6.17,13067,707,5.41%,1719,13.16%,770937,33236,4.31%
6.18,13708,979,7.14%,2016,14.71%,930524,44914,4.83%
